iter	Passed	Remaining
0	157	157633
1	166	83014
2	175	58192
3	182	45350
4	190	37904
5	197	32767
6	207	29472
7	215	26735
8	225	24830
9	232	22998
10	240	21594
11	247	20337
12	254	19348
13	261	18427
14	270	17740
15	277	17042
16	285	16515
17	292	15955
18	300	15532
19	307	15085
20	316	14756
21	324	14434
22	333	14147
23	340	13826
24	349	13624
25	358	13443
26	367	13240
27	374	12993
28	383	12829
29	390	12612
30	397	12437
31	404	12243
32	411	12070
33	419	11927
34	426	11766
35	435	11672
36	445	11582
37	452	11467
38	459	11329
39	467	11215
40	474	11092
41	482	11003
42	490	10913
43	498	10831
44	505	10727
45	513	10659
46	520	10563
47	528	10479
48	536	10416
49	543	10329
50	551	10253
51	557	10169
52	565	10107
53	572	10026
54	581	9995
55	588	9925
56	597	9879
57	605	9842
58	615	9819
59	624	9788
60	635	9783
61	647	9791
62	655	9747
63	665	9738
64	674	9698
65	684	9689
66	694	9676
67	703	9645
68	714	9634
69	722	9602
70	733	9601
71	745	9604
72	754	9583
73	765	9573
74	774	9555
75	783	9528
76	794	9518
77	801	9478
78	811	9459
79	819	9426
80	829	9407
81	837	9374
82	845	9346
83	853	9308
84	862	9282
85	868	9234
86	877	9212
87	884	9164
88	891	9130
89	898	9086
90	906	9058
91	913	9016
92	921	8989
93	928	8951
94	935	8911
95	944	8894
96	951	8854
97	959	8831
98	966	8794
99	974	8772
100	981	8733
101	989	8709
102	995	8671
103	1004	8652
104	1010	8617
105	1018	8587
106	1024	8553
107	1031	8520
108	1040	8505
109	1047	8474
110	1054	8447
111	1061	8414
112	1069	8395
113	1076	8363
114	1083	8338
115	1090	8308
116	1096	8278
117	1104	8255
118	1111	8227
119	1119	8209
120	1127	8189
121	1137	8186
122	1144	8159
123	1153	8149
124	1160	8124
125	1168	8108
126	1175	8081
127	1184	8066
128	1191	8042
129	1199	8026
130	1206	8000
131	1213	7981
132	1221	7964
133	1228	7938
134	1236	7922
135	1245	7912
136	1255	7907
137	1262	7887
138	1272	7879
139	1279	7859
140	1289	7853
141	1297	7839
142	1304	7819
143	1314	7815
144	1324	7810
145	1333	7802
146	1340	7780
147	1350	7773
148	1357	7751
149	1365	7737
150	1372	7715
151	1381	7704
152	1388	7683
153	1396	7673
154	1403	7651
155	1412	7639
156	1419	7619
157	1426	7601
158	1432	7579
159	1439	7559
160	1448	7548
161	1455	7529
162	1463	7514
163	1470	7495
164	1478	7482
165	1485	7462
166	1493	7450
167	1500	7430
168	1507	7414
169	1514	7394
170	1526	7398
171	1533	7380
172	1541	7368
173	1548	7349
174	1554	7329
175	1564	7323
176	1570	7304
177	1578	7290
178	1585	7271
179	1593	7257
180	1600	7239
181	1608	7228
182	1615	7210
183	1624	7204
184	1631	7186
185	1638	7171
186	1645	7154
187	1652	7136
188	1661	7131
189	1668	7112
190	1676	7099
191	1682	7081
192	1690	7069
193	1697	7051
194	1705	7040
195	1712	7022
196	1718	7006
197	1726	6991
198	1732	6974
199	1740	6962
200	1747	6946
201	1757	6943
202	1765	6930
203	1774	6925
204	1783	6917
205	1793	6912
206	1800	6897
207	1810	6894
208	1818	6881
209	1826	6871
210	1834	6860
211	1841	6845
212	1848	6829
213	1856	6817
214	1862	6801
215	1871	6794
216	1879	6780
217	1887	6769
218	1894	6757
219	1904	6751
220	1914	6749
221	1926	6750
222	1936	6747
223	1944	6737
224	1954	6733
225	1962	6722
226	1973	6720
227	1984	6718
228	1992	6709
229	2003	6707
230	2011	6697
231	2022	6693
232	2032	6689
233	2041	6682
234	2052	6681
235	2061	6674
236	2072	6672
237	2083	6669
238	2091	6659
239	2101	6656
240	2109	6644
241	2119	6639
242	2128	6631
243	2138	6624
244	2149	6624
245	2158	6615
246	2168	6610
247	2179	6609
248	2191	6608
249	2203	6609
250	2216	6615
251	2230	6620
